X,Y,Color,Radius,A,B,C
6079.92,5873.68,1,1,3891.062361,0.470118,105.276016
6363.71,5109.93,1,1,3891.456011,0.624261,92.352333
5433.74,4786.79,1,1,3893.063334,0.35755,106.953278
5030.17,4969.43,1,1,3895.720299,0.407488,94.53109
5496.19,5194.32,1,1,3897.622819,0.537769,98.908783
5310.3,5001.27,1,1,3898.049208,0.415641,98.52211
5294.72,4936.71,1,1,3899.197328,0.448324,106.705238
5230.44,5228.99,1,1,3901.559071,0.456681,98.837189
5316.85,5177.03,1,1,3902.116628,0.716016,97.071487
5350.41,5210.51,1,1,3902.674263,0.703955,95.131783
6638.42,6981.75,1,1,3902.969445,0.840283,92.318909
6360.48,8830.6,1,1,3903.428747,0.39633,92.530869
6711.08,8977.09,1,1,3903.691179,0.57889,104.989235
6344.64,8405.02,1,1,3904.084866,0.544738,96.080521
5562.12,7933.26,1,1,3904.77364,0.668679,105.415398
5661.36,7809,1,1,3905.265658,0.69317,105.130005
5588.43,7860.32,1,1,3905.528073,0.507913,107.445251
5543.52,7796.79,1,1,3905.790492,0.833864,109.084732
5660.08,7897.16,1,1,3906.118432,0.742123,110.339775
5653.22,7918.18,1,1,3906.380866,0.838328,109.322487
7056.64,5118.93,1,1,3906.840122,0.502022,66.480896
5748.29,5043.6,1,1,3907.692969,0.343223,123.179207
5046,6165.61,1,1,3908.020959,0.910324,115.829575
5745.89,7532.2,1,1,3908.742549,0.767882,116.345009
5614.77,7592.97,1,1,3909.004977,0.907322,113.342331
5647.53,7607.09,1,1,3909.267387,0.789073,108.725105
5786.14,7529.26,1,1,3909.529878,0.846176,109.488998
5895.19,7480.66,1,1,3909.792278,0.86247,110.849487
5938.16,7478.29,1,1,3910.054676,0.945796,108.948013
5811.72,7472.07,1,1,3910.34995,0.990856,101.394257
5672.87,7670.91,1,1,3910.612335,1,100.347229
5678.03,7898.56,1,1,3910.874756,0.994371,102.799065
5627.92,7947.02,1,1,3911.137083,1,103.965088
5642.01,8092.87,1,1,3911.399483,0.854082,103.969955
5626.54,7957.11,1,1,3911.661882,0.703384,103.027557
5641.04,7773,1,1,3911.924297,1,100.35405
5663.09,7631.4,1,1,3912.219575,0.865163,100.053123
5750.24,7685.51,1,1,3912.482001,1,100.836502
5741.76,7657.23,1,1,3912.744429,0.981027,104.6726
5649.26,7658.88,1,1,3913.006853,0.795945,101.917046
5562.84,7705.04,1,1,3913.334848,0.523816,102.102631
5565.96,7686.49,1,1,3913.597267,0.938175,101.584549
5737.22,7730.58,1,1,3913.859636,1,99.548653
5744.38,7685.07,1,1,3914.122069,0.869716,102.908691
5781.6,7573.9,1,1,3914.384457,0.86862,105.273827
5604.05,7289.8,1,1,3914.876405,0.655592,106.295334
5784.2,7278.55,1,1,3915.138817,0.774143,107.84375
5879.61,7105.99,1,1,3915.466779,0.809559,108.257004
5874.26,7022.72,1,1,3915.729202,0.834967,108.630272
5822.03,6949.86,1,1,3915.99159,0.830983,102.502647
5873.15,6836.62,1,1,3916.254019,0.85512,103.644096
5868.73,6840.77,1,1,3916.516432,0.816466,107.01561
4822.88,6810.84,1,1,3916.811644,0.765547,102.622383
4901.01,6735.25,1,1,3917.074117,0.894196,107.35788
5089.82,6725.97,1,1,3917.336495,0.985308,103.493172
5155.95,6702.35,1,1,3917.598919,1,105.688263
5148.98,6679.62,1,1,3917.861279,0.982924,105.416183
5226.38,6689.63,1,1,3918.123698,0.866889,107.11515
5283.57,6701.41,1,1,3918.386126,0.779782,109.008476
5312.41,6732.28,1,1,3918.648512,1,107.703995
5417.28,6706.5,1,1,3918.910871,0.902526,103.63546
5690.16,7040.45,1,1,3919.271726,0.75525,103.2491
7252.49,7297.12,1,1,3919.862205,0.438395,113.948242
6470.85,6841.44,1,1,3920.911885,0.468406,106.054451
6113.23,6151.13,1,1,3922.256929,0.557244,101.299347
5579.29,7952.11,1,1,3923.208158,0.862623,117.04483
4539.44,4976.91,1,1,3924.126522,0.601905,115.234619
6934.22,4935.56,1,1,3924.815365,0.497425,120.450264
6664.44,5936.71,1,1,3926.029087,0.541374,114.70134
5975.08,6419.37,1,1,3926.357089,0.926989,113.011307
6223.37,4833.67,1,1,3927.045941,0.406685,125.936829
6932.56,5250.19,1,1,3927.439566,0.593658,119.899658
6372.62,6309.55,1,1,3927.767609,0.743394,117.473953
6415.64,6266.29,1,1,3928.030049,0.873375,110.775436
4607.72,4636.79,1,1,3928.981333,0.708037,113.095802
7213.58,5575.19,1,1,3929.407751,0.358862,118.448898
6861.34,5559.82,1,1,3929.867023,0.581363,95.586647
6194.28,4882.24,1,1,3930.49031,0.506228,115.629822
5431.15,8628.22,1,1,3931.539974,0.399831,119.720238
7049.37,4921.24,1,1,3932.163257,0.458755,113.655914
6456.17,4999.16,1,1,3933.311225,0.525315,119.919052
6930.85,5265.67,1,1,3933.639238,0.615935,120.555046
5052.18,4477.4,1,1,3934.85282,0.69638,106.04892
5112,4510.4,1,1,3935.115283,0.761569,104.848969
5103.39,4467.75,1,1,3935.377686,0.671188,102.581978
5115.67,4385.56,1,1,3935.640114,1,101.307838
4708.25,4499.67,1,1,3935.902533,0.748605,99.521576
4887.97,4486.36,1,1,3936.164942,0.990446,102.19706
4938.03,4475.93,1,1,3936.427383,0.927057,105.112709
4964.3,4548.13,1,1,3936.886648,0.776958,103.071129
4684.01,6343.48,1,1,3937.739461,0.973291,103.116531
4825.26,6500.57,1,1,3938.03474,0.902857,103.197098
5702.13,5940.44,1,1,3938.329988,0.824632,94.061989
5668.49,6016.31,1,1,3938.592437,0.884253,92.293175
5677.29,6030.09,1,1,3938.854896,0.806566,90.626114
5658.14,6184.21,1,1,3939.11732,1,90.66642
6078.56,5201.96,1,1,3939.445392,0.838665,94.01606
5527.07,6309.96,1,1,3939.740677,0.893863,94.08445
5602.8,6192.78,1,1,3940.003079,1,97.768044
5660.68,6095.95,1,1,3940.298328,1,94.439842
5698.46,6031.95,1,1,3940.560786,1,91.747307
5745.56,5879.11,1,1,3940.823252,1,96.232239
5922.33,5685.55,1,1,3941.118508,1,100.630196
5850.41,5553.16,1,1,3941.380964,1,98.265045
5961.13,5980.64,1,1,3941.643354,0.928995,96.928482
5812.68,5952.07,1,1,3941.938611,1,96.644409
5808.33,5970.17,1,1,3942.201019,1,96.973679
5819.42,6045.55,1,1,3942.49621,0.640761,91.645332
5866.02,6058.38,1,1,3942.758658,0.790439,96.977852
5835.98,6114.83,1,1,3943.021057,1,93.897514
5643.15,6011.18,1,1,3943.283544,0.853829,98.470825
5672.24,5995.72,1,1,3943.578866,1,93.855408
5743.44,6101.48,1,1,3943.84128,1,94.630295
5632.14,6056.85,1,1,3944.136518,1,102.761795
5727.8,6186.97,1,1,3944.464574,0.981021,102.796989
4879.01,6075.55,1,1,3944.792622,0.863469,106.71476
4956.83,6019.94,1,1,3945.05507,0.989623,104.019905
4972.45,6034.97,1,1,3945.317543,1,98.322899
4989.83,6117.51,1,1,3945.678423,0.649928,104.554283
4983.15,6069.39,1,1,3945.940856,0.93077,104.688232
5032.92,6154.43,1,1,3946.20328,0.994191,105.779053
5070.53,6157.41,1,1,3946.465744,1,104.733749
5130.98,6132.49,1,1,3946.728154,0.946962,105.445229
