X,Y,Color,Radius,A,B,C
5835.98,6114.83,1,1,3943.021057,1,93.897514
5672.24,5995.72,1,1,3943.578866,1,93.855408
5632.14,6056.85,1,1,3944.136518,1,102.761795
4879.01,6075.55,1,1,3944.792622,0.863469,106.71476
4972.45,6034.97,1,1,3945.317543,1,98.322899
4983.15,6069.39,1,1,3945.940856,0.93077,104.688232
5070.53,6157.41,1,1,3946.465744,1,104.733749
5323.6,6030.96,1,1,3946.990544,1,107.623314
7398.04,5832.01,1,1,3947.909028,0.444532,118.352455
5533.63,4110.93,1,1,3949.844467,0.55814,115.540131
5451.26,4117.05,1,1,3950.369248,0.860524,112.020607
5111.72,5394.95,1,1,3951.386182,0.380157,110.796829
5194.95,5312.5,1,1,3952.435905,0.53929,100.191277
5546.85,5012.37,1,1,3955.060356,0.369871,106.881256
5487.73,4802.92,1,1,3956.405289,0.521346,109.794479
5599.12,5022.97,1,1,3957.619046,0.738192,109.967552
5509.7,5023.08,1,1,3958.537619,0.521912,102.835968
5651.71,5248.31,1,1,3960.276178,0.699792,106.544281
5145.69,5410.82,1,1,3961.260362,0.695002,107.9263
6187.25,5141.32,1,1,3962.539684,0.500959,100.929298
5989.35,5134.99,1,1,3963.195657,0.649563,98.651894
5849.23,4904.45,1,1,3964.212509,0.496861,106.952957
5954.83,4899.19,1,1,3964.90141,0.651886,109.66848
5739.3,5041.02,1,1,3965.52468,0.545031,105.486755
5818.24,5164.46,1,1,3966.082362,0.737318,105.094162
5781.74,5210.55,1,1,3966.672829,0.740949,108.232941
5778.22,5280.38,1,1,3967.29606,0.834826,106.284119
5820.38,5382.31,1,1,3968.083418,0.435832,107.510956
5774.55,5390.08,1,1,3968.608265,0.841875,114.135468
6047.5,5000.55,1,1,3969.953144,0.566668,112.022209
5844.68,4867.79,1,1,3971.855577,0.577902,118.827148
5662.67,5069.38,1,1,3972.774174,0.769842,111.666092
5725.61,5072.34,1,1,3973.29911,0.719729,106.84861
5527.41,5007.49,1,1,3973.922374,0.650323,109.182938
6879.89,6222.5,1,1,3975.857934,0.547942,114.983368
6814.19,6702.22,1,1,3976.514052,0.733378,117.495186
6913.35,5848.05,1,1,3977.071712,0.845935,114.028519
6949.68,5837.66,1,1,3977.596587,0.72607,114.748703
7044.16,5940.6,1,1,3978.121475,0.796938,115.37767
3355.36,4966.17,1,1,3979.532104,0.553624,71.614868
6949.84,6188.64,1,1,3980.647418,0.904595,115.866028
6886.15,6075.24,1,1,3981.172258,0.847782,112.984856
6898.39,7154.53,1,1,3981.762669,0.810334,109.167168
6851.38,7768.86,1,1,3982.320332,0.690154,106.869431
6806.5,6029.92,1,1,3982.878056,0.716831,111.55098
6829.28,5953.58,1,1,3983.402902,0.827559,110.990784
6720.36,5878.94,1,1,3983.927802,0.80735,110.370789
6342.11,5244.41,1,1,3984.518263,0.480258,120.739647
6277.73,5250.83,1,1,3985.075835,0.733143,110.983521
6395.03,5382.21,1,1,3985.600733,1,102.830513
6349.55,5571.81,1,1,3986.125542,0.88059,99.005424
